file_nm,element_id,amount,unit_ref,decimals,contextref
aaaa.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,519.08,,2,Prior2YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,613.15,,2,Prior1YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,708.06,,2,CurrentYearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:dividendpaidpersharesummaryofbusinessresults,7.00,,2,Prior4YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:dividendpaidpersharesummaryofbusinessresults,8.00,,2,Prior3YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:dividendpaidpersharesummaryofbusinessresults,16.00,,2,Prior2YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:dividendpaidpersharesummaryofbusinessresults,26.00,,2,Prior1YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:dividendpaidpersharesummaryofbusinessresults,26.00,,2,CurrentYearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:interimdividendpaidpersharesummaryofbusinessresults,3.50,,2,Prior4YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:interimdividendpaidpersharesummaryofbusinessresults,3.50,,2,Prior3YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:interimdividendpaidpersharesummaryofbusinessresults,5.00,,2,Prior2YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:interimdividendpaidpersharesummaryofbusinessresults,5.00,,2,Prior1YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:interimdividendpaidpersharesummaryofbusinessresults,10.00,,2,CurrentYearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,8.54,,2,Prior4YearDuration_NonConsolidatedMember
